Team,Team Score,Opponent,Opponent Score
Creighton,70,Providence,58
CS Fullerton,81,CS Northridge,68
Davidson,82,La Salle,73
Duke,81,Louisville,77
E Washington,89,CS Sacramento,70
East Carolina,80,Temple,69
Florida St,74,Virginia Tech,68
Fresno St,65,New Mexico,60
G Washington,53,St Louis,46
George Mason,82,Fordham,71
Georgia,59,Tennessee,57
Howard,68,Morgan St,65
Idaho,81,Montana,77
Indiana,95,Iowa,73
Iowa St,92,Oklahoma St,83
Kansas St,70,Baylor,64
Kent,68,Buffalo,65
Long Beach St,73,Hawaii,62
Louisiana Tech,69,UAB,57
Marshall,64,Old Dominion,63
MD E Shore,68,Hampton,66
Michigan,75,Illinois,55
Michigan St,78,Penn St,51
Mississippi,86,Missouri,74
Missouri KC,82,UTRGV,78
MTSU,86,UT San Antonio,70
Nevada,83,Utah St,69
New Mexico St,67,Chicago St,53
North Carolina,78,Miami FL,53
North Dakota,95,Portland St,72
Northwestern,83,Rutgers,61
Notre Dame,71,Virginia,58
Ohio,67,Toledo,66
Oregon,80,Arizona St,57
Sam Houston St,63,Houston Bap,59
San Diego St,87,Boise St,68
Seton Hall,82,Marquette,76
SF Austin,75,Lamar,59
St Bonaventure,73,Massachusetts,60
TCU,85,Kansas,82
Tulsa,66,Tulane,60
UC Davis,66,Cal Poly SLO,55
UC Irvine,76,UC Riverside,67
UCLA,76,USC,74
Utah Valley,65,Seattle,53
UTEP,86,Rice,76
Vanderbilt,66,Texas A&M,41
Villanova,108,St John's,67
Weber St,90,Southern Utah,70
West Virginia,63,Texas,53
Xavier,62,Butler,57
Akron,74,Ball St,70
Alabama,64,South Carolina,53
Alcorn St,81,Southern Univ,59
Arizona,86,UCLA,75
Arkansas,73,Mississippi,72
Cincinnati,80,Tulsa,61
Colorado St,71,San Diego St,63
Connecticut,74,Houston,65
Creighton,75,Xavier,72
CS Bakersfield,81,Utah Valley,80
Davidson,73,Dayton,67
Duke,93,North Carolina,83
Georgia St,86,ULL,76
Iowa St,84,TCU,63
Kent,68,Ohio,66
Kentucky,71,Georgia,60
Marshall,93,Louisiana Tech,77
Michigan,74,Purdue,70
Minnesota,63,Michigan St,58
MTSU,82,UTEP,56
NC Central,79,MD E Shore,49
Nevada,83,Fresno St,72
New Mexico St,78,Missouri KC,60
New Orleans,75,Sam Houston St,63
Norfolk St,68,Howard,53
North Dakota,69,Idaho,64
Northwestern,72,Maryland,64
Notre Dame,77,Florida St,73
Oregon,73,California,65
Rhode Island,74,St Bonaventure,63
Richmond,70,G Washington,67
SMU,81,East Carolina,77
TAM C. Christi,77,SF Austin,69
Texas St,63,ULM,51
Troy,90,Ga Southern,70
TX Southern,62,Grambling,57
UC Davis,66,CS Fullerton,64
UC Irvine,62,Long Beach St,57
UCF,84,Memphis,54
UT Arlington,74,Coastal Car,51
VA Commonwealth,71,George Mason,60
Vanderbilt,72,Florida,62
Villanova,55,Seton Hall,53
Weber St,80,E Washington,72
West Virginia,51,Kansas St,50
Wisconsin,70,Indiana,60
Arizona,83,Oregon,80
Arkansas,76,Vanderbilt,62
Cincinnati,81,Connecticut,71
Duke,75,Notre Dame,69
Iowa St,80,West Virginia,74
Kent,70,Akron,65
Kentucky,79,Alabama,74
Michigan,84,Minnesota,77
MTSU,83,Marshall,72
NC Central,67,Norfolk St,59
Nevada,79,Colorado St,71
New Mexico St,70,CS Bakersfield,60
New Orleans,68,TAM C. Christi,65
North Dakota,93,Weber St,89
Princeton,72,Penn,64
Rhode Island,84,Davidson,60
SMU,70,UCF,59
Texas St,83,UT Arlington,62
Troy,74,Georgia St,63
TX Southern,53,Alcorn St,50
UC Davis,50,UC Irvine,47
VA Commonwealth,87,Richmond,77
Vermont,56,Albany NY,53
Villanova,74,Creighton,60
Wisconsin,76,Northwestern,48
Yale,73,Harvard,71
Kentucky,82,Arkansas,65
Michigan,71,Wisconsin,56
Princeton,71,Yale,59
Rhode Island,70,VA Commonwealth,63
SMU,71,Cincinnati,56
Troy,59,Texas St,53
